Severity,Date,Start_Time,End_Time,Start_Lat,Start_Lng,Distance(mi),Description,City,County,State,Zipcode,Timezone,Weather_Timestamp,Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Temperature(F)
3,2020-01-10,12:22:45,13:06:54,32.907188,-96.895508,0.2599999904632568,Entry ramp to I-635 Eastbound at Exits 440B 440C 441 from I-35E Northbound lane blocked due to accident.,Dallas,Dallas,TX,75234,US/Central,12:51:00,,29.05,5.0,SSE,12.0,0.0,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,64.0
3,2020-01-14,06:31:01,07:39:50,28.552938,-81.382538,0.0,Delays and Left lane blocked due to accident on I-4 Westbound around US-17 Colonial Dr.,Orlando,Orange,FL,32801,US/Eastern,06:29:00,,30.17,3.0,CALM,0.0,0.0,Cloudy,False,False,True,False,False,False,False,False,False,False,False,True,False,Night,71.5
2,2020-01-14,06:02:00,07:17:20,38.542616,-121.73268799999998,0.0,At Richards Blvd - Accident.,Davis,Yolo,CA,95616,US/Pacific,05:55:00,,30.08,10.0,WSW,6.0,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,45.2
2,2020-01-14,13:42:00,14:55:21,34.559247,-117.40525,0.0,At Air Base Rd - Accident.,Adelanto,San Bernardino,CA,92301,US/Pacific,13:45:00,,27.03,10.0,WNW,10.0,0.0,Fair,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,40.5
2,2020-01-15,18:49:00,20:20:19,38.61961,-121.802874,0.0,At CR-E7/County Road 98 - Accident.,Woodland,Yolo,CA,95695,US/Pacific,18:55:00,,29.89,10.0,SSE,5.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,41.2
2,2020-01-21,18:16:00,22:27:45,34.525438,-117.317414,0.0,At Mojave Dr - Accident.,Victorville,San Bernardino,CA,92395,US/Pacific,17:46:00,,27.09,10.0,WSW,13.0,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,45.9
2,2020-01-31,16:21:00,16:53:29,34.439288,-117.37067,0.0,At Main St (Hesperia) - Accident.,Hesperia,San Bernardino,CA,92345,US/Pacific,16:45:00,,27.3,10.0,CALM,0.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,50.1
2,2020-01-31,17:06:00,18:39:56,34.322727,-117.398424,0.0,At I-15 - Accident.,Hesperia,San Bernardino,CA,92345,US/Pacific,16:45:00,,27.3,10.0,CALM,0.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,50.1
2,2020-02-04,10:16:00,11:08:01,34.50833,-117.319176,0.0,At Hesperia Rd - Accident.,Victorville,San Bernardino,CA,92395,US/Pacific,10:45:00,,27.19,10.0,N,14.0,0.0,Fair,False,False,False,False,False,False,False,False,False,True,False,False,False,Day,32.7
2,2020-02-05,20:26:00,21:18:01,34.545259,-117.300704,0.0,At E St - Accident.,Victorville,San Bernardino,CA,92395,US/Pacific,19:48:00,,27.11,10.0,CALM,0.0,0.0,Partly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,39.6
2,2020-02-05,17:52:00,21:44:50,34.136520000000004,-117.427975,0.0,At Sierra Ave/Exit 67 - Accident.,Rialto,San Bernardino,CA,92377,US/Pacific,17:49:00,,28.87,10.0,SW,6.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,44.5
2,2020-02-08,21:15:00,22:09:00,34.414656,-117.224722,0.0,At Kiowa Rd - Accident.,Apple Valley,San Bernardino,CA,92308-8351,US/Pacific,19:45:00,,26.89,10.0,SW,10.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,52.4
2,2020-02-13,07:28:48,08:30:06,40.468731,-74.291893,0.0,Right hand shoulder blocked due to accident on Garden State Pkwy Southbound before Cheesequake Rest Area.,South Amboy,Middlesex,NJ,08879,US/Eastern,07:35:00,,29.68,5.0,N,3.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,40.5
2,2020-02-14,06:55:56,07:57:00,39.914108,-104.985207,0.0,Accident on CO-128 120th Ave at Grant St. No recent updates.,Thornton,Adams,CO,80241,US/Mountain,07:00:00,,24.83,5.0,WSW,3.0,0.0,Fair,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,33.1
2,2020-02-16,19:02:00,22:54:57,43.93147,-91.94094,0.0,At CR-29/Exit 242 - Vehicle spun around.,Utica,Winona,MN,55979,US/Central,18:55:00,,29.38,10.0,CALM,0.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,16.0
2,2020-02-29,15:15:00,19:29:32,34.753174,-117.166666,0.0,At Hodge Rd - Accident.,Helendale,San Bernardino,CA,92342,US/Pacific,14:45:00,,26.96,10.0,S,20.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,56.0
2,2020-03-03,12:14:18,13:36:49,34.499512,-117.346764,0.0,Accident on El Evado Rd at Dos Palmas Rd.,Victorville,San Bernardino,CA,92392-2736,US/Pacific,11:45:00,,27.04,10.0,NNE,5.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,52.9
2,2020-03-04,07:35:29,08:35:18,31.833481,-85.865997,0.0,Lane blocked due to accident on US-29 at AL-223.,Banks,Pike,AL,36005,US/Central,07:39:00,,29.52,3.0,N,18.0,0.37,Heavy T-Storm,False,False,True,False,False,False,True,False,False,False,False,False,False,Day,61.4
2,2020-03-06,17:17:00,18:52:30,34.379641,-117.417814,0.0,At US-395 - Accident.,Hesperia,San Bernardino,CA,92344,US/Pacific,17:45:00,,26.95,10.0,S,16.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,58.0
2,2020-03-06,17:40:00,19:15:01,34.35638,-117.4382,0.0,At CA-138 - Accident.,Hesperia,San Bernardino,CA,92344,US/Pacific,17:45:00,,26.95,10.0,S,16.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,58.0
2,2020-03-06,12:16:24,12:46:24,34.72821,-117.18897,0.005,At Hodge Rd - Accident.,Apple Valley,San Bernardino,CA,92307,US/Pacific,12:45:00,,27.0,10.0,S,15.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,58.0
2,2020-03-08,08:48:00,10:19:30,34.470442,-117.34599,0.0,At Bear Valley Rd - Accident.,Hesperia,San Bernardino,CA,92345,US/Pacific,08:45:00,,26.97,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,46.1
2,2020-03-08,21:23:00,23:15:29,34.540716,-117.308173,0.0,At I-15-BL/CA-18/D St - Accident.,Victorville,San Bernardino,CA,92395,US/Pacific,19:45:00,,26.98,10.0,S,21.0,0.0,Fair / Windy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,46.1
3,2020-03-08,08:55:17,10:55:33,34.47044,-117.345985,0.0,Accident on I-15 Northbound at Exit 147 Bear Valley Rd.,Victorville,San Bernardino,CA,92392,US/Pacific,08:45:00,,26.97,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,46.1
2,2020-03-09,14:59:33,15:44:07,31.79101,-85.975502,0.0,Left turn lane blocked due to accident on US-231 Southbound at Pine Cone Ln.,Troy,Pike,AL,36081,US/Central,14:53:00,,29.98,10.0,S,13.0,0.0,Fair,False,False,True,False,False,False,True,False,False,False,False,False,False,Day,57.2
2,2020-03-09,09:41:00,10:33:58,34.365249,-117.430776,0.0,At Oak Hill Rd - Accident.,Hesperia,San Bernardino,CA,92344,US/Pacific,09:45:00,,27.1,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,48.8
2,2020-03-10,15:59:00,18:12:53,34.354808,-117.437859,0.0,At Oak Hill Rd - Accident.,Hesperia,San Bernardino,CA,92344,US/Pacific,15:49:00,,27.03,10.0,SE,17.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,50.9
2,2020-03-10,05:52:00,06:24:59,34.370006,-117.426051,0.0,At US-395 - Accident.,Hesperia,San Bernardino,CA,92344,US/Pacific,05:45:00,,27.06,6.0,ESE,5.0,0.0,Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,50.9
2,2020-03-11,17:10:00,18:12:59,34.35638400000001,-117.438214,0.0,At CA-138 - Accident.,Hesperia,San Bernardino,CA,92344,US/Pacific,16:48:00,,26.97,10.0,CALM,0.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,53.9
4,2020-03-13,21:52:49,22:52:18,34.362328000000005,-117.43376200000002,8.369999885559082,Traffic break and accident on I-15 Northbound from Exit 131 CA-138 to Exit 138 Oak Hill Rd.,Hesperia,San Bernardino,CA,92344,US/Pacific,19:45:00,,26.9,10.0,SSE,15.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,47.1
2,2020-03-17,11:51:55,12:21:42,40.553841,-74.317871,0.0,Right hand shoulder blocked due to accident on Garden State Pkwy Northbound at Exit 130 US-1.,Metuchen,Middlesex,NJ,08840,US/Eastern,11:55:00,,30.14,10.0,CALM,0.0,0.01,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,44.3
2,2020-03-18,16:14:50,16:29:50,41.57216,-81.52656,0.0,At US-20/Euclid Ave - Accident.,Euclid,Cuyahoga,OH,44117-1640,US/Eastern,15:45:00,,29.22,10.0,SSE,9.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,38.5
2,2020-03-18,00:35:01,01:21:33,34.45713,-117.35672,0.0,Right hand shoulder blocked due to accident on I-15 Southbound at Exit 147 Bear Valley Rd.,Hesperia,San Bernardino,CA,92345,US/Pacific,06:45:00,,26.83,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,42.6
2,2020-03-19,12:44:31,14:15:46,40.477936,-74.406601,0.0,Accident on I-95 Northbound at Exit 9 NJ-18.,East Brunswick,Middlesex,NJ,08816,US/Eastern,12:35:00,,30.22,10.0,NE,8.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,46.5
2,2020-03-19,08:15:06,09:00:31,42.965389,-72.340057,0.0,Accident on NH-12 Monadnock Hwy at Forge St.,Keene,Cheshire,NH,03431,US/Eastern,08:10:00,,29.88,2.0,NNE,3.0,0.0,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,34.3
2,2020-03-19,15:17:12,16:02:12,40.64302,-74.25926,0.0,At CR-3/Roselle St/Wheatsheaf Rd - Accident.,Linden,Union,NJ,07036-2535,US/Eastern,14:55:00,,30.18,10.0,ENE,5.0,0.0,Cloudy,False,False,False,False,False,False,False,False,True,False,False,True,False,Day,46.5
2,2020-03-20,12:41:00,14:54:17,34.523754,-117.318539,0.0,At Roy Rogers Dr - Accident.,Victorville,San Bernardino,CA,92394,US/Pacific,12:45:00,,27.17,10.0,E,6.0,0.0,Mostly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,46.2
3,2020-03-21,07:37:31,08:51:50,37.757126,-79.40973699999998,0.0,Left lane blocked and left hand shoulder blocked due to accident on I-81 Southbound at US-60 Midland Trl.,Lexington,Rockbridge,VA,24450,US/Eastern,07:35:00,,26.28,10.0,W,9.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,49.6
2,2020-03-22,19:33:00,21:05:14,34.500593,-117.155208,0.0,At Bear Valley Rd - Accident.,Apple Valley,San Bernardino,CA,92307-4344,US/Pacific,19:45:00,,27.04,10.0,S,14.0,0.0,Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,48.3
2,2020-03-30,03:56:00,05:47:46,34.39778,-117.403116,0.0,At Oak Hill Rd - Accident.,Hesperia,San Bernardino,CA,92344,US/Pacific,05:45:00,,27.17,10.0,SSE,7.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,51.9
2,2020-04-03,07:49:40,08:13:35,34.69847,-117.20717,0.019,At Boulder Rd - Accident. Hard shoulder blocked.,Apple Valley,San Bernardino,CA,92307,US/Pacific,07:46:00,,26.97,10.0,S,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,50.3
2,2020-04-09,18:24:00,18:56:50,34.739771999999995,-117.178446,0.0,At Hodge Rd - Accident.,Apple Valley,San Bernardino,CA,92307,US/Pacific,18:45:00,,27.06,4.0,CALM,0.0,0.0,Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,40.5
2,2020-04-12,09:46:34,11:17:45,34.442699,-117.172638,0.0,Accident on Central Rd both ways at Tussing Ranch Rd.,Apple Valley,San Bernardino,CA,92308-9224,US/Pacific,08:45:00,,27.0,10.0,SSW,12.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,52.9
2,2020-04-13,08:47:48,09:17:29,38.960873,-76.866753,0.0,Accident on I-95 Northbound at Exits 20A 20B 20B-A MD-450 Annapolis Rd.,Hyattsville,Prince George's,MD,20784,US/Eastern,08:46:00,,29.55,10.0,S,10.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,62.4
2,2020-04-13,17:48:44,18:18:20,40.467422,-74.28968,0.0,Right lane blocked due to accident on Garden State Pkwy Express Lane Southbound at Garden State Pkwy.,South Amboy,Middlesex,NJ,08879,US/Eastern,17:55:00,,29.49,10.0,W,12.0,0.17,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,58.1
2,2020-04-13,16:40:44,16:55:44,34.52585,-117.31751,0.0,At Roy Rogers Dr - Accident. Hard shoulder blocked.,Victorville,San Bernardino,CA,92394,US/Pacific,15:45:00,,27.03,10.0,WSW,9.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,52.1
2,2020-04-14,08:52:15,09:07:15,34.99235,-117.54157,0.0,At Shadow Mountain Rd - Accident involving heavy truck.,Boron,Kern,CA,93516-2114,US/Pacific,08:58:00,,27.84,7.0,E,5.0,0.0,Fair,False,False,True,False,True,False,False,False,False,False,False,True,False,Day,55.6
2,2020-04-17,06:40:59,06:55:59,34.42307,-117.38335,0.0,At Main St (Hesperia) - Accident. Hard shoulder blocked.,Hesperia,San Bernardino,CA,92344,US/Pacific,06:48:00,,26.92,10.0,S,8.0,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,52.4
2,2020-04-23,20:52:00,22:14:34,34.3923,-117.40757,0.003,At US-395 - Accident.,Hesperia,San Bernardino,CA,92344,US/Pacific,18:45:00,,27.01,10.0,WSW,12.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,65.5
2,2020-04-24,14:25:00,15:59:04,34.708946999999995,-117.201241,0.0,At Hodge Rd - Accident.,Apple Valley,San Bernardino,CA,92307,US/Pacific,12:45:00,,27.09,10.0,N,5.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,69.3
2,2020-04-25,14:46:43,15:34:51,34.360252,-117.434937,0.0,Accident on I-15 Northbound at Exit 138 Mariposa Rd.,Hesperia,San Bernardino,CA,92344,US/Pacific,15:45:00,,27.01,10.0,W,9.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,71.5
2,2020-04-29,14:29:00,16:06:42,34.39778,-117.403116,0.0,At Oak Hill Rd - Accident.,Hesperia,San Bernardino,CA,92344,US/Pacific,14:45:00,,26.99,10.0,S,17.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,73.8
2,2020-05-03,19:10:15,00:26:36,39.058868,-82.016724,0.0,Left lane blocked due to accident on US-33 Eastbound before OH-124.,Pomeroy,Meigs,OH,45769,US/Eastern,19:15:00,,28.99,5.0,W,3.0,0.01,Light Rain with Thunder,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,63.8
3,2020-05-06,22:20:44,22:49:27,39.388046,-76.530212,0.0,One lane blocked due to accident on I-695 clockwise at Exits 31A 31A-B 31B MD-147 Harford Rd.,Parkville,Baltimore County,MD,21234,US/Eastern,22:21:00,,29.84,5.0,N,5.0,0.01,Drizzle,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,48.9
3,2020-05-08,19:05:36,20:39:34,37.885132,-79.28591899999998,0.0,Right lane blocked due to accident on I-64 Eastbound before Exit 200 Sterrett Rd.,Fairfield,Rockbridge,VA,24435,US/Eastern,18:55:00,,25.81,0.0,W,20.0,0.03,Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,47.3
2,2020-05-08,14:57:00,16:11:34,34.50261,-117.324433,0.0,At I-15-BL/CA-18/Palmdale Rd - Accident.,Victorville,San Bernardino,CA,92395,US/Pacific,14:45:00,,26.95,10.0,SSE,20.0,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,73.0
2,2020-05-13,18:32:00,19:25:35,34.382917,-117.415191,0.0,At US-395 - Accident.,Hesperia,San Bernardino,CA,92344,US/Pacific,18:55:00,,26.96,10.0,WSW,14.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,57.1
2,2020-05-13,16:09:12,17:09:12,39.3797,-76.47275,0.0,At Perry Hall Blvd - Accident.,Nottingham,Baltimore County,MD,21236,US/Eastern,15:54:00,,30.25,10.0,SE,8.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,53.7
2,2020-05-15,21:33:31,22:32:59,25.962166,-80.229446,0.0,Right lane blocked due to accident on Florida's Tpke Southbound at Exit 2X.,Miami Gardens,Miami-Dade,FL,33056,US/Eastern,21:53:00,,29.86,10.0,NNE,7.0,0.01,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,77.5
2,2020-05-15,17:22:55,18:27:53,39.36439,-76.51978000000003,0.215,At I-695/Baltimore Beltway - Accident.,Nottingham,Baltimore County,MD,21236-4106,US/Eastern,16:54:00,,29.91,10.0,SSE,20.0,0.0,Partly Cloudy,True,False,False,False,False,False,False,False,False,False,False,True,False,Day,69.2
2,2020-05-17,00:13:00,07:38:40,34.470341,-117.346376,0.0,At Bear Valley Rd - Accident.,Victorville,San Bernardino,CA,92392,US/Pacific,05:45:00,,26.88,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,64.4
3,2020-05-17,17:07:13,18:34:37,34.360859000000005,-117.43438700000002,0.0,Three lanes blocked due to accident on I-15 Northbound at Exit 138 Mariposa Rd. SigAlert issued.,Hesperia,San Bernardino,CA,92344,US/Pacific,16:45:00,,26.88,10.0,S,26.0,0.0,Fair / Windy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,64.4
3,2020-05-23,08:06:46,08:36:46,39.32855,-76.48415,2.1,Between US-40/Exit 35 and MD-150/Eastern Blvd/Exit 38 - Accident. Right lane blocked.,Rosedale,Baltimore County,MD,21237,US/Eastern,07:54:00,,29.98,3.0,CALM,0.0,0.0,Mostly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,68.7
3,2020-05-24,07:44:52,08:14:24,25.942879,-80.187675,0.0,Lane blocked due to accident on I-95 Southbound at Exit 14 / FL-860 Miami Gardens Dr.,Miami,Miami-Dade,FL,33179,US/Eastern,07:50:00,,29.99,5.0,E,6.0,0.29,Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,78.7
3,2020-05-25,06:49:02,07:48:04,26.098257,-80.25148,0.0,Left lane blocked due to accident on I-595 Westbound at FL-817 University Dr.,Fort Lauderdale,Broward,FL,33324,US/Eastern,06:49:00,,29.87,6.0,SE,10.0,0.18,Heavy Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,79.3
3,2020-05-25,00:25:05,01:44:47,34.426636,-117.380318,0.0,Traffic break and accident on I-15 Northbound at Exit 143 Main St.,Hesperia,San Bernardino,CA,92345,US/Pacific,05:45:00,,27.0,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,73.4
2,2020-05-26,07:15:38,07:43:46,25.99065,-80.26329,0.0,Accident on 37th Ave at Fogg Rd.,Hollywood,Broward,FL,33025,US/Eastern,06:53:00,,29.87,8.0,SE,6.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,81.0
2,2020-05-27,05:29:03,06:13:55,34.426636,-117.380318,0.0,Accident on I-15 Northbound at Exit 143 Main St.,Hesperia,San Bernardino,CA,92345,US/Pacific,05:45:00,,26.98,10.0,SSE,8.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,79.3
2,2020-05-28,22:35:00,00:11:32,34.719323,-117.331288,0.0,At Bryman Rd - Accident.,Helendale,San Bernardino,CA,92342-9797,US/Pacific,18:45:00,,26.94,10.0,WSW,13.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,79.8
2,2020-05-30,10:23:00,10:55:36,34.467424,-117.348346,0.0,At Bear Valley Rd - Accident.,Hesperia,San Bernardino,CA,92345,US/Pacific,10:45:00,,26.97,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,61.9
2,2020-06-02,23:28:42,00:10:57,25.99503,-80.22435,0.334,At SR-818/Griffin Rd/Exit 53 (South) - Accident. Heavy rain.,Miramar,Broward,FL,33023-2621,US/Eastern,23:19:00,,30.08,3.0,E,13.0,0.68,Heavy T-Storm,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,81.3
2,2020-06-03,05:34:17,06:34:01,34.602188,-117.63796200000002,0.0,Accident on El Mirage Rd near St Andrews Ave.,Adelanto,San Bernardino,CA,92301-9695,US/Pacific,06:45:00,,27.06,10.0,SSE,7.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,79.4
3,2020-06-03,06:22:36,07:07:39,25.96417000000001,-80.16585500000002,0.0,Accident on I-95 Express Southbound after Exit 16 203rd St.,Miami,Miami-Dade,FL,33179,US/Eastern,05:53:00,,30.01,10.0,CALM,0.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,81.5
3,2020-06-04,13:36:50,14:06:09,26.029678,-80.351639,0.0,Left lane blocked due to accident on I-75 Southbound at Exit 11 Sheridan St.,Fort Lauderdale,Broward,FL,33331,US/Eastern,13:53:00,,30.0,10.0,SSE,9.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,79.1
2,2020-06-04,07:30:00,08:23:35,36.977936,-121.910097,0.0,At State Park Dr - Accident.,Aptos,Santa Cruz,CA,95003,US/Pacific,07:53:00,,29.64,9.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,68.0
2,2020-06-05,10:54:00,12:47:03,34.354808,-117.437859,0.0,At Oak Hill Rd - Accident.,Hesperia,San Bernardino,CA,92344,US/Pacific,10:46:00,,26.81,10.0,S,17.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,63.9
2,2020-06-10,09:52:40,12:23:26,25.95751,-80.197731,0.0,Lane blocked due to accident on Ives Dairy Rd Westbound at 2nd Ave.,Miami,Miami-Dade,FL,33179-2918,US/Eastern,09:53:00,,30.03,10.0,E,7.0,0.0,Fair,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,83.3
2,2020-06-10,17:29:00,18:14:00,40.52673,-74.35664,0.0,At I-287 - Accident.,Edison,Middlesex,NJ,08837,US/Eastern,17:35:00,,29.89,10.0,S,12.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,73.3
2,2020-06-11,06:45:20,07:43:47,25.94223,-80.182053,0.0,Accident on FL-860 Miami Gardens Dr at 9th Ct.,Miami,Miami-Dade,FL,33162,US/Eastern,06:53:00,,30.05,10.0,NNE,3.0,0.0,Mostly Cloudy,False,False,True,False,False,False,False,False,True,False,False,False,False,Day,81.5
